"","player","year","week","homeTeam","awayTeam","game","GamePasses","GameRushes","GameCatches","GameSacked","GamePassingYards","GamePassingTDS","GameRushingYards","RushingTD","GameReturnYards","GameReturnTDS","GameReceivingYards","RecivingTDS","AllPurposeYards","GameTouchdowns","TotalPlays3rdDown","Numberof3rdDownConversions","Player3rdDownEfficiency","CumulativePassAttemps","CumulativeRushAttepmts","CumulativeCatches","CumulativeBeenSacked","CumulativePassYards","CumulativePassingTDs","CumulativeRushingYards","CumulativeRushingTDs","CumulativeReturnYards","CumulativeReturnTDs","CumulativeReceivingYards","CumulativeReceivingTDs","CumulativeAllPurposeYards","CumulativeAllTouchdowns"
"198","Matt Leinart",2004,15,"UCLA","USC",6,34,0,0,3,243,0,0,0,0,0,0,0,243,0,12,0,"0",375,39,0,11,3060,28,67,3,0,0,0,0,3127,31
"199","Reggie Bush",2005,1,"Hawaii","USC",1,0,13,4,0,0,0,84,2,0,0,39,0,123,2,2,1,"0.5",0,13,4,0,0,0,84,2,0,0,39,0,123,2
"200","Reggie Bush",2005,3,"USC","Arkansas",6,0,9,3,0,0,0,128,1,0,0,70,1,198,2,1,1,"1",0,22,7,0,0,0,212,3,0,0,109,1,321,4
"201","Reggie Bush",2005,4,"Oregon","USC",7,0,19,5,0,0,0,118,1,0,0,43,1,161,2,4,2,"0.5",0,41,12,0,0,0,330,4,0,0,152,2,482,6
"202","Reggie Bush",2005,5,"Arizona State","USC",8,0,20,2,0,0,0,179,2,0,0,4,0,183,2,1,0,"0",0,61,14,0,0,0,509,6,0,0,156,2,665,8
"203","Reggie Bush",2005,6,"USC","Arizona",9,0,13,4,0,0,0,103,0,0,0,19,0,122,0,1,1,"1",0,74,18,0,0,0,612,6,0,0,175,2,787,8
"204","Reggie Bush",2005,7,"Notre Dame","USC",10,1,16,5,0,0,0,188,3,0,0,36,0,224,3,5,2,"0.4",1,90,23,0,0,0,800,9,0,0,211,2,1011,11
"205","Reggie Bush",2005,8,"Washington","USC",11,0,8,2,0,0,0,48,1,0,0,18,0,66,1,2,1,"0.5",1,98,25,0,0,0,848,10,0,0,229,2,1077,12
"206","Reggie Bush",2005,10,"USC","Stanford",2,0,12,5,0,0,0,113,1,0,0,27,0,140,1,2,1,"0.5",1,110,30,0,0,0,961,11,0,0,256,2,1217,13
"207","Reggie Bush",2005,11,"Cal","USC",3,0,17,2,0,0,0,83,0,0,0,4,0,87,0,3,0,"0",1,127,32,0,0,0,1044,11,0,0,260,2,1304,13
"208","Reggie Bush",2005,12,"USC","Fresno State",4,0,23,3,0,0,0,292,2,0,0,68,0,360,2,1,0,"0",1,150,35,0,0,0,1336,13,0,0,328,2,1664,15
"209","Reggie Bush",2005,14,"USC","UCLA",5,0,24,1,0,0,0,260,2,0,0,0,0,260,2,3,3,"1",1,174,36,0,0,0,1596,15,0,0,328,2,1924,17
"210","Troy Smith",2005,1,"Ohio State","Miami (OH)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NaN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211","Troy Smith",2005,2,"Ohio State","Texas",5,9,9,0,3,78,1,40,0,0,0,0,0,118,1,7,2,"0.2857143",9,9,0,3,78,1,40,0,0,0,0,0,118,1
"212","Troy Smith",2005,3,"Ohio State","San Diego State",6,27,14,0,0,150,0,92,2,0,0,0,0,242,2,13,5,"0.3846154",36,23,0,3,228,1,132,2,0,0,0,0,360,3
"213","Troy Smith",2005,4,"Ohio State","Iowa",7,19,18,0,0,192,2,118,2,0,0,0,0,310,4,14,9,"0.6428571",55,41,0,3,420,3,250,4,0,0,0,0,670,7
"214","Troy Smith",2005,6,"Penn State","Ohio State",8,25,12,0,7,172,0,57,1,0,0,0,0,229,1,14,6,"0.4285714",80,53,0,10,592,3,307,5,0,0,0,0,899,8
"215","Troy Smith",2005,7,"Ohio State","Michigan State",9,15,7,0,0,249,3,38,1,0,0,0,0,287,4,5,0,"0",95,60,0,10,841,6,345,6,0,0,0,0,1186,12
"216","Troy Smith",2005,8,"Indiana","Ohio State",10,23,8,0,3,345,2,64,2,0,0,0,0,409,4,9,1,"0.1111111",118,68,0,13,1186,8,409,8,0,0,0,0,1595,16
"217","Troy Smith",2005,9,"Minnesota","Ohio State",11,19,10,0,1,229,3,35,0,0,0,0,0,264,3,7,1,"0.1428571",137,78,0,14,1415,11,444,8,0,0,0,0,1859,19
"218","Troy Smith",2005,10,"Ohio State","Illinois",2,21,8,0,0,299,3,56,0,0,0,0,0,355,3,10,5,"0.5",158,86,0,14,1714,14,500,8,0,0,0,0,2214,22
"219","Troy Smith",2005,11,"Ohio State","Northwestern",3,14,11,0,0,102,0,69,2,0,0,0,0,171,2,6,2,"0.3333333",172,97,0,14,1816,14,569,10,0,0,0,0,2385,24
"220","Troy Smith",2005,12,"Michigan","Ohio State",4,38,10,0,1,297,1,48,1,0,0,0,0,345,2,11,5,"0.4545455",210,107,0,15,2113,15,617,11,0,0,0,0,2730,26
"221","Tim Tebow",2007,1,"Florida","W Kentucky",1,17,7,0,0,299,3,45,1,0,0,0,0,344,4,4,2,"0.5",17,7,0,0,299,3,45,1,0,0,0,0,344,4
"222","Tim Tebow",2007,2,"Florida","Troy",6,24,14,0,2,195,1,96,2,0,0,0,0,291,3,8,3,"0.375",41,21,0,2,494,4,141,3,0,0,0,0,635,7
"223","Tim Tebow",2007,3,"Florida","Tennessee",7,19,18,0,0,396,3,62,2,0,0,0,0,458,5,12,5,"0.4166667",60,39,0,2,890,7,203,5,0,0,0,0,1093,12
"224","Tim Tebow",2007,4,"Ole Miss","Florida",8,35,28,0,0,275,2,164,2,0,0,0,0,439,4,15,8,"0.5333333",95,67,0,2,1165,9,367,7,0,0,0,0,1532,16
"225","Tim Tebow",2007,5,"Florida","Auburn",9,27,19,0,0,202,1,75,1,0,0,0,0,277,2,12,4,"0.3333333",122,86,0,2,1367,10,442,8,0,0,0,0,1809,18
"226","Tim Tebow",2007,6,"LSU","Florida",10,26,14,0,2,159,2,75,1,0,0,0,0,234,3,9,5,"0.5555556",148,100,0,4,1526,12,517,9,0,0,0,0,2043,21
"227","Tim Tebow",2007,8,"Kentucky","Florida",11,26,19,0,1,257,4,83,1,0,0,0,0,340,5,9,4,"0.4444444",174,119,0,5,1783,16,600,10,0,0,0,0,2383,26
"228","Tim Tebow",2007,9,"Florida","Georgia",12,23,7,0,6,236,1,25,2,0,0,0,0,261,3,10,2,"0.2",197,126,0,11,2019,17,625,12,0,0,0,0,2644,29
"229","Tim Tebow",2007,10,"Florida","Vanderbilt",2,27,6,0,0,292,3,35,2,0,0,0,0,327,5,8,3,"0.375",224,132,0,11,2311,20,660,14,0,0,0,0,2971,34
"230","Tim Tebow",2007,11,"South Carolina","Florida",3,32,26,0,0,314,2,120,5,0,0,0,0,434,7,14,6,"0.4285714",256,158,0,11,2625,22,780,19,0,0,0,0,3405,41
"231","Tim Tebow",2007,12,"Florida","FAU",4,33,11,0,0,370,3,31,1,0,0,0,0,401,4,8,4,"0.5",289,169,0,11,2995,25,811,20,0,0,0,0,3806,45
"232","Tim Tebow",2007,13,"Florida","FSU",5,29,12,0,1,265,3,93,2,0,0,0,0,358,5,10,7,"0.7",318,181,0,12,3260,28,904,22,0,0,0,0,4164,50
